日期,股票代码,名称,收盘价,开盘价
2019-01-11,'000002,万 科Ａ,25.3,25.1
2019-01-10,'000002,万 科Ａ,25.11,25.22
2019-01-09,'000002,万 科Ａ,25.33,25.4
2019-01-08,'000002,万 科Ａ,25.0,25.05
2019-01-07,'000002,万 科Ａ,25.05,25.29
2019-01-04,'000002,万 科Ａ,24.93,23.91
2019-01-03,'000002,万 科Ａ,24.07,23.79
2019-01-02,'000002,万 科Ａ,23.9,23.83
2018-12-28,'000002,万 科Ａ,23.82,23.67
2018-12-27,'000002,万 科Ａ,23.44,24.25
2018-12-26,'000002,万 科Ａ,23.8,23.84
2018-12-25,'000002,万 科Ａ,23.97,23.42
2018-12-24,'000002,万 科Ａ,23.88,23.92
2018-12-21,'000002,万 科Ａ,24.25,25.17
2018-12-20,'000002,万 科Ａ,25.3,25.45
2018-12-19,'000002,万 科Ａ,25.38,25.71
2018-12-18,'000002,万 科Ａ,25.5,26.23
2018-12-17,'000002,万 科Ａ,26.52,26.51
2018-12-14,'000002,万 科Ａ,26.46,26.78
2018-12-13,'000002,万 科Ａ,27.1,26.69
2018-12-12,'000002,万 科Ａ,26.35,26.31
2018-12-11,'000002,万 科Ａ,25.97,24.95
2018-12-10,'000002,万 科Ａ,25.0,25.12
2018-12-07,'000002,万 科Ａ,25.34,25.12
2018-12-06,'000002,万 科Ａ,25.1,24.91
2018-12-05,'000002,万 科Ａ,25.3,24.81
2018-12-04,'000002,万 科Ａ,25.13,25.56
2018-12-03,'000002,万 科Ａ,25.73,26.0
2018-11-30,'000002,万 科Ａ,25.44,25.27
2018-11-29,'000002,万 科Ａ,25.29,25.95
2018-11-28,'000002,万 科Ａ,25.88,25.0
2018-11-27,'000002,万 科Ａ,24.95,25.2
2018-11-26,'000002,万 科Ａ,25.19,25.03
2018-11-23,'000002,万 科Ａ,24.9,25.65
2018-11-22,'000002,万 科Ａ,25.63,25.99
2018-11-21,'000002,万 科Ａ,26.03,25.38
2018-11-20,'000002,万 科Ａ,25.65,25.78
2018-11-19,'000002,万 科Ａ,25.97,24.7
2018-11-16,'000002,万 科Ａ,24.78,24.29
2018-11-15,'000002,万 科Ａ,24.38,24.05
2018-11-14,'000002,万 科Ａ,24.15,24.18
2018-11-13,'000002,万 科Ａ,23.94,23.48
2018-11-12,'000002,万 科Ａ,23.88,23.41
2018-11-09,'000002,万 科Ａ,23.55,23.89
2018-11-08,'000002,万 科Ａ,23.99,24.15
2018-11-07,'000002,万 科Ａ,23.85,24.18
2018-11-06,'000002,万 科Ａ,24.14,24.03
2018-11-05,'000002,万 科Ａ,24.04,24.48
2018-11-02,'000002,万 科Ａ,24.62,25.2
2018-11-01,'000002,万 科Ａ,24.42,24.9
2018-10-31,'000002,万 科Ａ,24.23,23.68
2018-10-30,'000002,万 科Ａ,23.69,23.31
2018-10-29,'000002,万 科Ａ,22.8,24.28
2018-10-26,'000002,万 科Ａ,23.81,23.71
2018-10-25,'000002,万 科Ａ,23.49,22.18
2018-10-24,'000002,万 科Ａ,22.58,22.23
2018-10-23,'000002,万 科Ａ,22.14,22.88
2018-10-22,'000002,万 科Ａ,22.82,21.88
2018-10-19,'000002,万 科Ａ,21.56,20.61
2018-10-18,'000002,万 科Ａ,20.59,21.1
2018-10-17,'000002,万 科Ａ,21.22,21.35
2018-10-16,'000002,万 科Ａ,21.01,21.6
2018-10-15,'000002,万 科Ａ,21.47,21.78
2018-10-12,'000002,万 科Ａ,21.8,21.14
2018-10-11,'000002,万 科Ａ,20.93,21.0
2018-10-10,'000002,万 科Ａ,21.75,21.77
2018-10-09,'000002,万 科Ａ,21.82,22.05
2018-10-08,'000002,万 科Ａ,22.05,22.95
2018-09-28,'000002,万 科Ａ,24.3,24.5
2018-09-27,'000002,万 科Ａ,24.45,24.63
2018-09-26,'000002,万 科Ａ,24.67,24.66
2018-09-25,'000002,万 科Ａ,24.64,24.8
2018-09-21,'000002,万 科Ａ,25.8,24.2
2018-09-20,'000002,万 科Ａ,24.01,24.01
2018-09-19,'000002,万 科Ａ,24.17,23.03
2018-09-18,'000002,万 科Ａ,23.0,22.65
2018-09-17,'000002,万 科Ａ,22.83,23.04
2018-09-14,'000002,万 科Ａ,23.32,23.13
2018-09-13,'000002,万 科Ａ,23.1,23.31
2018-09-12,'000002,万 科Ａ,22.88,23.24
2018-09-11,'000002,万 科Ａ,23.34,23.39
2018-09-10,'000002,万 科Ａ,23.46,23.42
2018-09-07,'000002,万 科Ａ,23.21,22.85
2018-09-06,'000002,万 科Ａ,22.81,23.32
2018-09-05,'000002,万 科Ａ,23.41,24.11
2018-09-04,'000002,万 科Ａ,24.43,23.66
2018-09-03,'000002,万 科Ａ,23.55,23.85
2018-08-31,'000002,万 科Ａ,24.05,23.2
2018-08-30,'000002,万 科Ａ,23.5,23.8
2018-08-29,'000002,万 科Ａ,23.91,23.74
2018-08-28,'000002,万 科Ａ,23.88,23.8
2018-08-27,'000002,万 科Ａ,23.91,22.98
2018-08-24,'000002,万 科Ａ,22.78,22.66
2018-08-23,'000002,万 科Ａ,22.82,23.0
2018-08-22,'000002,万 科Ａ,23.92,23.91
2018-08-21,'000002,万 科Ａ,23.91,23.39
2018-08-20,'000002,万 科Ａ,23.35,22.93
2018-08-17,'000002,万 科Ａ,22.69,22.9
2018-08-16,'000002,万 科Ａ,22.72,21.63
2018-08-15,'000002,万 科Ａ,22.3,22.39
2018-08-14,'000002,万 科Ａ,22.32,23.0
2018-08-13,'000002,万 科Ａ,23.04,22.6
2018-08-10,'000002,万 科Ａ,23.18,23.0
2018-08-09,'000002,万 科Ａ,22.48,21.5
2018-08-08,'000002,万 科Ａ,21.5,21.89
2018-08-07,'000002,万 科Ａ,21.86,21.15
2018-08-06,'000002,万 科Ａ,20.86,21.18
2018-08-03,'000002,万 科Ａ,21.08,21.39
2018-08-02,'000002,万 科Ａ,21.38,22.34
2018-08-01,'000002,万 科Ａ,22.35,23.24
2018-07-31,'000002,万 科Ａ,23.32,23.29
2018-07-30,'000002,万 科Ａ,23.18,23.54
2018-07-27,'000002,万 科Ａ,23.32,23.55
2018-07-26,'000002,万 科Ａ,23.71,24.34
2018-07-25,'000002,万 科Ａ,24.18,24.38
2018-07-24,'000002,万 科Ａ,24.38,24.04
2018-07-23,'000002,万 科Ａ,23.75,22.96
2018-07-20,'000002,万 科Ａ,23.14,22.64
2018-07-19,'000002,万 科Ａ,22.68,22.7
2018-07-18,'000002,万 科Ａ,22.47,23.02
2018-07-17,'000002,万 科Ａ,22.98,23.05
2018-07-16,'000002,万 科Ａ,23.15,23.59
2018-07-13,'000002,万 科Ａ,23.72,24.24
2018-07-12,'000002,万 科Ａ,23.85,23.58
2018-07-11,'000002,万 科Ａ,23.46,23.48
2018-07-10,'000002,万 科Ａ,24.15,24.2
2018-07-09,'000002,万 科Ａ,24.01,23.37
2018-07-06,'000002,万 科Ａ,23.21,23.34
2018-07-05,'000002,万 科Ａ,23.05,23.02
2018-07-04,'000002,万 科Ａ,23.0,23.46
2018-07-03,'000002,万 科Ａ,23.42,23.1
2018-07-02,'000002,万 科Ａ,22.8,24.5
2018-06-29,'000002,万 科Ａ,24.6,24.1
2018-06-28,'000002,万 科Ａ,23.88,23.86
2018-06-27,'000002,万 科Ａ,24.22,25.5
2018-06-26,'000002,万 科Ａ,25.54,25.82
2018-06-25,'000002,万 科Ａ,26.49,28.25
2018-06-22,'000002,万 科Ａ,28.1,27.5
2018-06-21,'000002,万 科Ａ,27.73,26.97
2018-06-20,'000002,万 科Ａ,26.96,26.99
2018-06-19,'000002,万 科Ａ,27.1,27.85
2018-06-15,'000002,万 科Ａ,27.99,27.37
2018-06-14,'000002,万 科Ａ,27.37,27.48
2018-06-13,'000002,万 科Ａ,27.64,27.41
2018-06-12,'000002,万 科Ａ,27.71,27.57
2018-06-11,'000002,万 科Ａ,27.31,26.74
2018-06-08,'000002,万 科Ａ,26.71,27.1
2018-06-07,'000002,万 科Ａ,27.39,27.07
2018-06-06,'000002,万 科Ａ,26.99,27.3
2018-06-05,'000002,万 科Ａ,27.49,27.29
2018-06-04,'000002,万 科Ａ,27.3,26.3
2018-06-01,'000002,万 科Ａ,26.0,25.39
2018-05-31,'000002,万 科Ａ,25.59,24.77
2018-05-30,'000002,万 科Ａ,24.64,25.21
2018-05-29,'000002,万 科Ａ,25.6,26.3
2018-05-28,'000002,万 科Ａ,26.5,26.39
2018-05-25,'000002,万 科Ａ,26.39,26.68
2018-05-24,'000002,万 科Ａ,26.65,26.8
2018-05-23,'000002,万 科Ａ,26.8,26.72
2018-05-22,'000002,万 科Ａ,26.72,27.05
2018-05-21,'000002,万 科Ａ,27.07,27.23
2018-05-18,'000002,万 科Ａ,27.15,26.7
2018-05-17,'000002,万 科Ａ,26.79,27.19
2018-05-16,'000002,万 科Ａ,27.23,27.55
2018-05-15,'000002,万 科Ａ,27.75,28.11
2018-05-14,'000002,万 科Ａ,27.94,28.08
2018-05-11,'000002,万 科Ａ,27.94,28.1
2018-05-10,'000002,万 科Ａ,28.07,28.32
2018-05-09,'000002,万 科Ａ,28.2,28.5
2018-05-08,'000002,万 科Ａ,28.69,27.4
2018-05-07,'000002,万 科Ａ,27.38,27.01
2018-05-04,'000002,万 科Ａ,26.91,27.26
2018-05-03,'000002,万 科Ａ,27.33,27.65
2018-05-02,'000002,万 科Ａ,27.68,28.4
2018-04-27,'000002,万 科Ａ,28.4,28.66
2018-04-26,'000002,万 科Ａ,28.5,30.3
2018-04-25,'000002,万 科Ａ,30.12,30.65
2018-04-24,'000002,万 科Ａ,30.93,29.85
2018-04-23,'000002,万 科Ａ,29.91,29.88
2018-04-20,'000002,万 科Ａ,30.15,30.18
2018-04-19,'000002,万 科Ａ,30.23,30.33
2018-04-18,'000002,万 科Ａ,30.04,30.29
2018-04-17,'000002,万 科Ａ,29.92,30.16
2018-04-16,'000002,万 科Ａ,30.03,31.2
2018-04-13,'000002,万 科Ａ,31.25,32.16
2018-04-12,'000002,万 科Ａ,31.85,32.57
2018-04-11,'000002,万 科Ａ,32.61,32.15
2018-04-10,'000002,万 科Ａ,32.18,31.52
2018-04-09,'000002,万 科Ａ,31.62,32.7
2018-04-04,'000002,万 科Ａ,32.8,32.3
