ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,¿ªÅÌ¼Û
2019-01-11,'000596,¹Å¾®¹±¾Æ,55.13,54.1
2019-01-10,'000596,¹Å¾®¹±¾Æ,54.11,53.91
2019-01-09,'000596,¹Å¾®¹±¾Æ,53.92,53.7
2019-01-08,'000596,¹Å¾®¹±¾Æ,53.52,52.64
2019-01-07,'000596,¹Å¾®¹±¾Æ,52.33,52.62
2019-01-04,'000596,¹Å¾®¹±¾Æ,52.21,50.45
2019-01-03,'000596,¹Å¾®¹±¾Æ,50.84,53.12
2019-01-02,'000596,¹Å¾®¹±¾Æ,52.8,54.69
2018-12-28,'000596,¹Å¾®¹±¾Æ,53.96,53.55
2018-12-27,'000596,¹Å¾®¹±¾Æ,53.57,55.0
2018-12-26,'000596,¹Å¾®¹±¾Æ,54.24,55.88
2018-12-25,'000596,¹Å¾®¹±¾Æ,55.93,56.1
2018-12-24,'000596,¹Å¾®¹±¾Æ,56.56,56.1
2018-12-21,'000596,¹Å¾®¹±¾Æ,55.69,55.15
2018-12-20,'000596,¹Å¾®¹±¾Æ,55.84,56.48
2018-12-19,'000596,¹Å¾®¹±¾Æ,56.65,57.45
2018-12-18,'000596,¹Å¾®¹±¾Æ,57.62,57.9
2018-12-17,'000596,¹Å¾®¹±¾Æ,58.0,58.14
2018-12-14,'000596,¹Å¾®¹±¾Æ,58.92,59.48
2018-12-13,'000596,¹Å¾®¹±¾Æ,59.81,57.9
2018-12-12,'000596,¹Å¾®¹±¾Æ,58.12,58.3
2018-12-11,'000596,¹Å¾®¹±¾Æ,57.98,57.84
2018-12-10,'000596,¹Å¾®¹±¾Æ,57.84,57.95
2018-12-07,'000596,¹Å¾®¹±¾Æ,58.46,58.51
2018-12-06,'000596,¹Å¾®¹±¾Æ,58.39,59.01
2018-12-05,'000596,¹Å¾®¹±¾Æ,59.9,58.55
2018-12-04,'000596,¹Å¾®¹±¾Æ,59.64,59.88
2018-12-03,'000596,¹Å¾®¹±¾Æ,60.0,58.83
2018-11-30,'000596,¹Å¾®¹±¾Æ,56.97,55.0
2018-11-29,'000596,¹Å¾®¹±¾Æ,54.88,54.97
2018-11-28,'000596,¹Å¾®¹±¾Æ,54.67,54.45
2018-11-27,'000596,¹Å¾®¹±¾Æ,53.98,54.3
2018-11-26,'000596,¹Å¾®¹±¾Æ,54.21,54.02
2018-11-23,'000596,¹Å¾®¹±¾Æ,54.11,55.84
2018-11-22,'000596,¹Å¾®¹±¾Æ,55.8,56.06
2018-11-21,'000596,¹Å¾®¹±¾Æ,55.82,54.97
2018-11-20,'000596,¹Å¾®¹±¾Æ,55.61,57.0
2018-11-19,'000596,¹Å¾®¹±¾Æ,57.8,57.25
2018-11-16,'000596,¹Å¾®¹±¾Æ,57.17,57.76
2018-11-15,'000596,¹Å¾®¹±¾Æ,57.42,57.24
2018-11-14,'000596,¹Å¾®¹±¾Æ,57.37,58.48
2018-11-13,'000596,¹Å¾®¹±¾Æ,58.74,56.5
2018-11-12,'000596,¹Å¾®¹±¾Æ,57.08,57.31
2018-11-09,'000596,¹Å¾®¹±¾Æ,57.31,57.3
2018-11-08,'000596,¹Å¾®¹±¾Æ,57.73,57.91
2018-11-07,'000596,¹Å¾®¹±¾Æ,57.21,58.1
2018-11-06,'000596,¹Å¾®¹±¾Æ,57.57,58.4
2018-11-05,'000596,¹Å¾®¹±¾Æ,58.36,59.0
2018-11-02,'000596,¹Å¾®¹±¾Æ,59.96,58.6
2018-11-01,'000596,¹Å¾®¹±¾Æ,56.92,55.69
2018-10-31,'000596,¹Å¾®¹±¾Æ,55.2,54.61
2018-10-30,'000596,¹Å¾®¹±¾Æ,53.7,54.06
2018-10-29,'000596,¹Å¾®¹±¾Æ,56.16,58.9
2018-10-26,'000596,¹Å¾®¹±¾Æ,62.4,64.15
2018-10-25,'000596,¹Å¾®¹±¾Æ,63.92,63.25
2018-10-24,'000596,¹Å¾®¹±¾Æ,66.0,68.39
2018-10-23,'000596,¹Å¾®¹±¾Æ,70.07,75.57
2018-10-22,'000596,¹Å¾®¹±¾Æ,76.16,73.64
2018-10-19,'000596,¹Å¾®¹±¾Æ,72.72,68.98
2018-10-18,'000596,¹Å¾®¹±¾Æ,69.98,71.08
2018-10-17,'000596,¹Å¾®¹±¾Æ,72.35,73.41
2018-10-16,'000596,¹Å¾®¹±¾Æ,72.75,72.38
2018-10-15,'000596,¹Å¾®¹±¾Æ,72.16,73.9
2018-10-12,'000596,¹Å¾®¹±¾Æ,73.96,71.98
2018-10-11,'000596,¹Å¾®¹±¾Æ,72.54,71.37
2018-10-10,'000596,¹Å¾®¹±¾Æ,74.2,77.15
2018-10-09,'000596,¹Å¾®¹±¾Æ,77.2,79.8
2018-10-08,'000596,¹Å¾®¹±¾Æ,79.15,80.96
2018-09-28,'000596,¹Å¾®¹±¾Æ,83.23,82.86
2018-09-27,'000596,¹Å¾®¹±¾Æ,82.86,83.0
2018-09-26,'000596,¹Å¾®¹±¾Æ,83.8,80.5
2018-09-25,'000596,¹Å¾®¹±¾Æ,80.34,79.77
2018-09-21,'000596,¹Å¾®¹±¾Æ,80.1,78.5
2018-09-20,'000596,¹Å¾®¹±¾Æ,78.35,77.93
2018-09-19,'000596,¹Å¾®¹±¾Æ,78.11,75.4
2018-09-18,'000596,¹Å¾®¹±¾Æ,75.37,71.96
2018-09-17,'000596,¹Å¾®¹±¾Æ,72.34,71.57
2018-09-14,'000596,¹Å¾®¹±¾Æ,71.66,70.8
2018-09-13,'000596,¹Å¾®¹±¾Æ,71.15,72.75
2018-09-12,'000596,¹Å¾®¹±¾Æ,71.99,73.95
2018-09-11,'000596,¹Å¾®¹±¾Æ,74.35,73.5
2018-09-10,'000596,¹Å¾®¹±¾Æ,73.61,74.47
2018-09-07,'000596,¹Å¾®¹±¾Æ,75.16,74.25
2018-09-06,'000596,¹Å¾®¹±¾Æ,74.06,74.0
2018-09-05,'000596,¹Å¾®¹±¾Æ,76.01,77.93
2018-09-04,'000596,¹Å¾®¹±¾Æ,78.63,78.52
2018-09-03,'000596,¹Å¾®¹±¾Æ,78.6,78.39
2018-08-31,'000596,¹Å¾®¹±¾Æ,78.47,79.81
2018-08-30,'000596,¹Å¾®¹±¾Æ,80.55,79.15
2018-08-29,'000596,¹Å¾®¹±¾Æ,79.69,79.24
2018-08-28,'000596,¹Å¾®¹±¾Æ,79.08,80.11
2018-08-27,'000596,¹Å¾®¹±¾Æ,79.88,75.7
2018-08-24,'000596,¹Å¾®¹±¾Æ,74.86,76.98
2018-08-23,'000596,¹Å¾®¹±¾Æ,77.38,77.0
2018-08-22,'000596,¹Å¾®¹±¾Æ,76.6,78.51
