Date,000001_open,000001_close,000002_open,000002_close,000004_open,000004_close,000005_open,000005_close,000006_open,000006_close,000007_open,000007_close,000008_open,000008_close,000009_open,000009_close,000010_open,000010_close,000011_open,000011_close
2000-01-04,17.5,18.29,9.8,10.3,8.55,8.74,6.1,6.24,9.56,9.7,8.2,8.28,42.35,44.91,3.55,3.59,7.38,7.47,6.54,6.72
2000-01-05,18.35,18.06,10.35,10.04,8.75,9.02,6.25,6.25,9.7,9.61,8.28,8.25,45.0,45.65,3.6,3.6,7.47,7.58,6.6,6.76
2000-01-06,18.02,18.78,10.0,10.51,9.0,9.4,6.17,6.47,9.5,9.9,8.02,8.48,45.65,46.78,3.6,3.73,7.55,7.78,6.62,6.99
2000-01-07,19.0,19.54,10.58,10.99,9.25,9.87,6.6,6.76,10.05,10.45,8.6,9.33,46.83,48.95,3.73,3.81,7.78,8.1,6.96,7.23
2000-01-10,19.79,20.14,10.68,11.44,10.28,10.36,6.91,7.01,10.5,10.82,9.5,9.61,48.5,52.47,3.83,3.86,8.1,8.32,7.28,7.53
2000-01-11,20.15,19.0,11.6,10.84,10.5,10.38,7.01,6.76,10.82,10.14,9.7,9.0,52.53,53.27,3.85,3.73,8.2,7.78,7.59,7.05
2000-01-12,19.0,18.24,10.79,10.46,10.3,9.86,6.7,6.47,10.1,9.8,8.94,8.65,53.2,54.69,3.7,3.67,7.7,7.5,7.03,6.8
2000-01-13,18.2,18.14,10.39,10.44,9.74,9.7,6.4,6.45,9.8,9.73,8.6,8.61,54.75,57.11,3.67,3.67,7.5,7.51,6.8,6.71
2000-01-14,18.14,17.88,10.6,10.03,9.55,9.99,6.6,6.56,9.76,9.47,8.6,8.26,57.0,59.63,3.67,3.7,7.6,7.31,6.73,6.55
2000-01-17,17.9,18.08,9.99,10.36,10.08,10.49,6.67,7.22,9.42,9.6,8.4,8.42,59.71,63.01,3.7,3.64,7.31,7.22,6.57,6.69
2000-01-18,18.0,17.69,10.33,10.0,10.8,11.01,7.85,7.38,9.68,9.46,8.48,8.57,63.01,67.2,3.64,3.66,7.18,7.34,6.73,6.49
2000-01-19,17.5,17.79,10.0,10.1,11.55,11.2,7.34,7.27,9.4,9.47,8.68,8.8,67.21,71.74,3.66,3.63,7.64,7.36,6.49,6.59
2000-01-20,17.8,17.81,10.06,10.28,11.18,11.76,7.29,7.69,9.51,9.65,8.85,8.78,66.0,75.5,3.65,3.62,7.36,7.25,6.6,6.65
2000-01-21,17.8,17.96,10.3,10.08,12.35,12.35,7.7,7.62,9.68,9.56,8.88,9.02,75.57,80.38,3.62,3.58,7.25,7.09,6.68,6.46
2000-01-24,17.91,17.5,10.07,9.89,12.97,12.97,7.64,7.9,9.45,9.3,9.0,8.97,80.4,80.88,3.56,3.55,7.05,6.75,6.42,6.23
2000-01-25,17.5,17.72,9.9,10.28,13.62,13.62,8.0,7.75,9.4,9.37,9.0,8.95,80.0,78.92,3.5,3.54,6.75,7.04,6.2,6.26
2000-01-26,17.72,17.64,10.15,10.14,14.3,13.23,7.75,7.51,9.4,9.42,8.93,8.72,79.52,78.53,3.56,3.72,7.13,6.93,6.26,6.27
2000-01-27,17.65,17.89,10.24,10.18,13.01,13.58,7.61,7.5,9.59,9.99,8.73,9.03,78.56,85.49,3.9,3.91,7.39,7.08,6.28,6.15
2000-01-28,18.0,18.53,10.18,10.55,13.58,13.39,7.87,8.25,10.5,10.99,9.0,9.24,85.6,89.96,4.1,4.11,7.1,7.08,6.17,6.33
2000-02-14,19.2,20.37,10.81,11.48,14.06,13.19,8.7,9.08,12.0,12.09,9.58,10.16,90.95,97.39,4.32,4.32,7.06,7.75,6.55,6.96
2000-02-15,20.5,19.44,11.51,11.22,13.0,12.55,9.3,9.06,12.46,11.59,10.5,10.31,97.77,104.39,4.54,4.54,7.75,7.48,7.15,6.79
2000-02-16,19.3,18.83,10.98,11.18,12.3,13.18,9.0,9.4,11.59,12.15,10.31,11.34,104.76,114.83,4.77,4.73,7.48,8.05,6.75,6.92
2000-02-17,18.83,18.8,11.25,12.3,13.84,13.2,9.6,9.02,12.2,11.66,12.4,11.47,115.7,115.63,4.72,4.49,8.18,7.84,6.95,7.61
2000-02-18,18.79,18.41,12.97,12.1,13.18,13.86,8.95,8.84,11.55,11.45,11.36,12.05,115.0,116.12,4.28,4.27,7.8,7.7,7.6,7.05
2000-02-21,18.41,18.91,12.36,13.31,14.0,14.55,8.84,8.61,11.45,11.95,12.26,12.24,117.0,110.03,4.18,4.48,7.62,7.9,7.05,7.3
2000-02-22,19.0,18.25,13.8,12.48,15.27,15.14,8.6,8.04,11.98,11.18,12.3,11.02,108.88,99.03,4.48,4.31,7.9,7.56,7.3,6.87
2000-02-23,18.2,18.1,13.0,12.95,15.0,14.38,7.98,8.08,11.0,10.6,10.7,10.03,91.0,89.13,4.2,4.2,7.45,7.79,6.8,6.62
2000-02-24,18.05,18.18,12.98,13.07,13.66,13.66,8.1,8.15,10.55,10.9,10.0,10.6,80.22,93.16,4.2,4.25,7.8,7.82,6.5,6.69
2000-02-25,18.18,18.09,13.1,12.77,12.98,12.98,8.2,7.84,10.87,10.56,10.58,10.33,88.0,89.7,4.25,4.12,7.9,7.57,6.75,6.58
