Date,600519_open,600519_close,000815_open,000815_close,000962_open,000962_close,600614_open,600614_close,000716_open,000716_close,000698_open,000698_close,000063_open,000063_close,000596_open,000596_close
2002-01-04,38.72,37.55,11.53,11.21,17.5,17.21,18.95,18.57,13.1,12.81,6.96,6.69,23.35,22.8,15.3,14.99
2002-01-07,37.15,37.35,11.21,11.17,17.0,16.8,18.5,18.19,12.9,13.29,6.63,6.5,22.68,22.61,15.0,14.89
2002-01-08,37.0,36.59,11.2,10.93,16.83,16.73,18.19,18.48,13.48,13.29,6.5,6.51,22.8,22.48,14.93,14.82
2002-01-09,36.5,36.87,11.0,10.77,16.65,16.17,18.25,18.5,13.29,13.25,6.53,6.3,22.4,22.21,14.75,14.49
2002-01-10,36.98,37.24,10.99,11.0,16.1,15.28,18.69,18.97,13.25,13.15,6.25,6.27,22.2,22.28,14.48,14.54
2002-01-11,37.01,36.05,11.0,10.69,15.2,14.0,19.17,18.18,13.18,13.19,6.2,6.0,22.38,21.54,14.68,14.2
2002-01-14,35.7,36.1,10.2,10.24,13.89,12.6,18.0,17.34,13.16,13.06,5.95,5.56,21.2,20.96,14.01,13.72
2002-01-15,35.98,36.54,10.2,10.0,12.3,12.66,17.24,16.55,13.0,12.6,5.46,5.5,20.8,20.5,13.48,13.54
2002-01-16,36.48,36.35,9.91,10.12,13.02,13.54,16.55,16.67,12.5,12.9,5.5,5.64,20.3,20.91,13.48,13.7
2002-01-17,36.2,35.06,10.0,9.3,13.6,12.59,15.8,15.27,12.95,12.57,5.18,5.08,20.9,20.32,13.7,13.02
2002-01-18,34.8,36.65,9.25,9.0,12.49,13.6,15.27,15.15,12.57,12.69,4.71,5.01,20.15,20.7,13.04,13.01
2002-01-21,36.3,35.87,9.0,8.1,13.3,13.8,14.9,13.8,12.68,12.56,4.71,4.71,20.3,20.66,13.01,12.31
2002-01-22,35.8,36.44,8.0,7.84,13.71,14.48,13.5,13.97,12.41,12.55,4.7,4.76,20.56,21.04,12.28,12.18
2002-01-23,36.65,37.62,7.78,8.62,14.48,15.3,14.0,15.37,12.46,13.05,4.75,5.18,21.15,22.57,12.25,12.93
2002-01-24,37.36,37.29,8.5,8.98,15.2,15.29,15.55,16.33,13.05,12.91,5.1,5.36,23.9,22.99,12.8,13.03
2002-01-25,37.24,37.1,8.88,8.94,15.2,15.12,16.1,16.07,12.91,12.69,5.33,5.26,22.97,23.16,13.0,13.12
2002-01-28,37.0,35.49,8.91,8.05,15.12,13.61,16.6,16.05,12.5,12.49,5.26,4.85,22.7,21.8,12.91,12.36
2002-01-29,35.2,35.66,8.0,8.43,13.5,14.32,15.5,16.2,12.49,12.57,4.71,5.02,21.6,22.67,12.01,12.55
